สัปดาห์ sàp-daa,Week
ปี bpii,Year
วันนี้ wan-níi,Today
พรุ่งนี้ phrûng-níi,Tomorrow
เมื่อวาน mûuea-waan,Yesterday
ปฏิทิน bpà-dtì-thin,Calendar
วินาที wí-naa-thii,Second
ชั่วโมง chûua-moong,Hour
นาที naa-thii,Minute
โมง moong,O'clock
นาฬิกา naa-lí-gaa,Clock
สามารถ sǎa-mâat,Can
ใช้ chái,Use
ไป bpai,Go
มา maa,Come
หัวเราะ hǔua-ráw,Laugh
ทำ tham,Make
เห็น hěn,See
ไกล glai,Far
เล็ก lék,Small
ดี dii,Good
สวย sǔuai,Beautiful
น่าเกลียด nâa-glìiat,Ugly
ยาก yâak,Difficult
ง่าย ngâai,Easy
ไม่ดี mâi-dii,Bad
ใกล้ glâi,Near
ยินดีที่ได้รู้จัก yin-dii thîi dâai rúu-jàk,Nice to meet you
สวัสดี sà-wàt-dii,Hello
อรุณสวัสดิ์ à-run sà-wàt,Good morning
สวัสดีตอนบ่าย sà-wàt-dii dtaawn-bàai,Good afternoon
สวัสดีตอนเย็น sà-wàt-dii dtaawn-yen,Good evening
ราตรีสวัสดิ์ raa-dtrii-sà-wàt,Good night
คุณสบายดีไหม khun sà-baai dii mǎi,How are you?
ขอบคุณ khàawp-khun ,Thank you!
ไม่ใช่ mâi châi ,No
อร่อย à-ràwy ,Delicious!
ฉัน... chǎn...,I'm...(____)
ลาก่อน laa-gàawn,Goodbye
ใช่ châi,Yes
วันจันทร์ wan jan,Monday
วันอังคาร wan ang-khaan,Tuesday
วันพุธ wan phút,Wednesday
วันพฤหัสบดี wan phá-rúe-hàt-sà-baaw-dii,Thursday
วันศุกร์ wan sùk,Friday
วันเสาร์ wan sǎo,Saturday
วันอาทิตย์ wan aa-thít,Sunday
เดือนพฤษภาคม duuean phrúet-sà-phaa-khom,May
เดือนมกราคม duuean má-gà-raa-khom,January
เดือนกุมภาพันธ์ duuean gum-phaa-phan,February
เดือนมีนาคม duuean mii-naa-khom,March
เดือนเมษายน duuean mee-sǎ-yon,April
เดือนมิถุนายน duuean mí-thù-naa-yon,June
เดือนกรกฎาคม duuean gà-rá-gà-daa-khom,July
เดือนสิงหาคม duuean sǐng-hǎa-khom,August
เดือนกันยายน duuean gan-yaa-yon,September
เดือนตุลาคม duuean dtù-laa-khom,October
เดือนพฤศจิกายน duuean phrúet-sà-jì-gaa-yon,November
เดือนธันวาคม duuean than-waa-khom,December
ศูนย์ sǔun,Zero
หนึ่ง nùeng,One
สอง sǎawng,Two
สาม sǎam,Three
สี่ sìi,Four
ห้า hâa,Five
หก hòk,Six
เจ็ด jèt,Seven
แปด bpàaet,Eight
เก้า gâo,Nine
สิบ sìp,Ten
กาแฟ gaa-faae,Coffee
เบียร์ biia,Beer
ชา chaa,Tea
ไวน์ waai,Wine
น้ำ náam,Water
เนื้อหมู núuea-mǔu,Pork
ไก่ gài,Chicken
เนื้อลูกแกะ núuea-lûuk-gàe,Lamb
ปลา bplaa,Fish
เท้า tháao,Foot
ขา khǎa,Leg
หัว hǔua,Head
แขน khǎaen,Arm
มือ muue,Hand
นิ้วมือ níu-muue,Finger
ร่างกาย râang-gaai,Body
ท้อง tháawng,Stomach
หลัง lǎng,Back
หน้าอก nâa-òk,Chest
พยาบาล phá-yaa-baan,Nurse
ลูกจ้าง lûuk-jâang,Employee
เจ้าหน้าที่ตำรวจ jâo-nâa-thîi-dtam-rùuat,Police officer
พ่อครัว phâaw-khruua,Cook
วิศวกร wít-sà-wá-gaawn,Engineer
หมอ mǎaw,Doctor
ผู้จัดการ phûu-jàt-gaan,Manager
ครู khruu,Teacher
นักเขียนโปรแกรม nák-khǐian-bproo-graaem,Programmer
พนักงานขาย phá-nák-ngaan-khǎai,Salesman
ขอโทษ khǎaw-thôot,I'm sorry
กรุณา gà-rú-naa,Please
ขอบคุณ khàawp-khun,Thank you!
ด้วยความยินดี dûuai khwaam-yin-dii,You're welcome
คุณชื่ออะไร khun chûue à-rai,What's your name?
ห้องน้ำอยู่ที่ไหน hâawng-nám yùu thîi-nǎi,Where is the bathroom?
ยินดีด้วย yin-dii dûuai,Congratulations!
